Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
0,1,Male,Loyal Customer,65,Personal Travel,Business,4142,5,2,3,1,5,4,3,3,0,1,2,1,5,5,170,169.0,satisfied
1,2,Female,Loyal Customer,19,Business travel,Eco,1471,0,0,2,3,3,4,0,4,2,3,5,3,1,0,209,223.0,neutral or dissatisfied
2,3,Male,Loyal Customer,23,Business travel,Business,420,0,4,3,2,1,3,3,5,3,3,3,0,4,0,295,309.0,satisfied
3,4,Male,disloyal Customer,45,Business travel,Business,4754,4,5,4,5,0,3,3,5,1,3,2,4,3,4,88,87.0,satisfied
4,5,Male,Loyal Customer,70,Personal Travel,Eco Plus,4159,0,4,0,1,1,0,5,2,4,5,4,3,0,5,166,170.0,neutral or dissatisfied
5,6,Female,Loyal Customer,46,Business travel,Eco,1231,1,1,0,2,4,3,1,3,3,3,5,0,1,2,27,37.0,neutral or dissatisfied
6,7,Male,disloyal Customer,43,Business travel,Eco,2678,0,2,1,5,5,1,2,1,2,4,4,4,4,5,237,,neutral or dissatisfied
7,8,Male,disloyal Customer,42,Personal Travel,Business,4142,3,3,5,5,0,2,3,0,3,0,3,5,1,2,62,81.0,neutral or dissatisfied
8,9,Male,disloyal Customer,29,Business travel,Business,3467,5,5,1,3,3,1,3,1,2,3,5,1,5,0,254,278.0,neutral or dissatisfied
9,10,Female,disloyal Customer,22,Business travel,Eco,917,0,2,0,4,0,3,0,1,5,4,5,4,2,5,40,,neutral or dissatisfied
10,11,Male,Loyal Customer,51,Business travel,Business,111,3,4,4,0,5,4,0,3,0,4,5,0,3,1,28,44.0,neutral or dissatisfied
11,12,Male,Loyal Customer,65,Business travel,Eco,294,0,3,1,2,3,1,5,0,0,4,1,2,4,4,278,300.0,neutral or dissatisfied
12,13,Male,disloyal Customer,54,Personal Travel,Eco,2637,0,2,3,1,5,4,0,2,3,2,5,0,4,5,79,103.0,neutral or dissatisfied
13,14,Male,disloyal Customer,32,Business travel,Eco,2942,4,0,5,2,3,1,4,1,1,2,4,2,0,3,50,63.0,neutral or dissatisfied
14,15,Female,Loyal Customer,61,Business travel,Business,2329,1,5,3,4,2,4,3,0,4,4,4,1,0,2,111,125.0,satisfied
15,16,Male,Loyal Customer,53,Personal Travel,Business,3109,5,1,5,0,2,5,0,2,2,5,3,1,0,5,89,,satisfied
16,17,Female,Loyal Customer,32,Personal Travel,Eco Plus,4851,1,2,4,2,1,1,1,1,4,3,2,3,1,1,228,244.0,neutral or dissatisfied
17,18,Female,disloyal Customer,60,Personal Travel,Eco,2177,2,2,1,4,1,4,4,0,0,0,2,3,3,2,149,158.0,neutral or dissatisfied
18,19,Female,disloyal Customer,65,Business travel,Eco,3967,4,0,5,1,3,2,5,3,1,5,1,2,1,1,242,247.0,neutral or dissatisfied
19,20,Male,Loyal Customer,40,Business travel,Business,4973,4,4,3,3,0,0,2,5,1,1,5,2,3,4,137,165.0,satisfied
20,21,Female,Loyal Customer,23,Personal Travel,Business,543,1,5,1,5,4,1,3,5,4,2,1,1,4,4,134,,satisfied
21,22,Male,Loyal Customer,63,Personal Travel,Eco,397,4,5,1,1,4,2,3,1,0,3,3,4,1,4,88,,neutral or dissatisfied
22,23,Female,disloyal Customer,67,Business travel,Eco,944,1,1,3,0,0,0,1,1,4,3,3,2,1,0,14,25.0,neutral or dissatisfied
23,24,Female,disloyal Customer,61,Business travel,Eco,1115,4,2,0,5,0,1,2,0,3,1,2,2,1,1,173,195.0,neutral or dissatisfied
24,25,Female,disloyal Customer,60,Business travel,Business,1484,0,3,5,1,2,2,2,5,1,1,3,4,2,5,89,114.0,satisfied
25,26,Female,Loyal Customer,62,Personal Travel,Eco Plus,1497,1,2,3,1,4,2,5,1,1,3,5,3,5,3,212,215.0,neutral or dissatisfied
26,27,Female,Loyal Customer,38,Business travel,Eco,653,1,1,4,1,3,5,5,2,3,1,4,3,3,3,60,64.0,satisfied
27,28,Female,Loyal Customer,40,Business travel,Eco,2450,3,2,2,1,5,2,4,1,0,3,3,2,3,4,219,234.0,neutral or dissatisfied
28,29,Female,Loyal Customer,60,Business travel,Eco Plus,4616,4,0,3,5,1,5,3,5,1,5,1,3,1,3,60,88.0,satisfied
29,30,Female,disloyal Customer,72,Personal Travel,Business,1369,4,2,1,0,5,3,0,4,5,1,5,3,2,2,165,190.0,satisfied
30,31,Male,disloyal Customer,33,Personal Travel,Eco Plus,1360,1,2,1,4,2,4,5,5,5,5,3,5,1,1,11,34.0,satisfied
31,32,Male,disloyal Customer,64,Business travel,Business,284,0,3,3,2,4,0,1,2,5,5,3,3,3,1,215,220.0,neutral or dissatisfied
32,33,Female,disloyal Customer,70,Personal Travel,Eco Plus,4663,0,0,2,3,0,4,1,0,2,1,5,1,5,1,76,103.0,neutral or dissatisfied
33,34,Female,Loyal Customer,32,Personal Travel,Eco,2510,5,0,3,2,4,4,1,2,2,3,3,0,5,2,231,226.0,neutral or dissatisfied
34,35,Female,disloyal Customer,42,Business travel,Business,4531,0,2,2,2,3,5,5,4,0,4,4,2,4,5,111,126.0,satisfied
35,36,Male,disloyal Customer,53,Business travel,Eco,2309,4,5,2,3,2,4,5,4,3,3,2,2,2,0,65,82.0,satisfied
36,37,Female,disloyal Customer,28,Business travel,Business,3772,3,3,4,5,0,2,1,1,4,0,5,1,5,2,181,,neutral or dissatisfied
37,38,Male,Loyal Customer,68,Personal Travel,Eco,4783,1,2,5,0,5,5,5,1,0,1,1,0,2,1,203,198.0,neutral or dissatisfied
38,39,Male,Loyal Customer,32,Business travel,Eco,1981,2,2,1,3,3,4,0,5,4,2,3,0,1,1,205,220.0,neutral or dissatisfied
39,40,Male,Loyal Customer,21,Personal Travel,Business,4396,3,1,1,0,5,5,0,3,0,1,2,1,4,1,285,301.0,neutral or dissatisfied
40,41,Male,disloyal Customer,38,Personal Travel,Business,621,2,1,2,5,1,3,4,2,2,0,1,4,3,5,104,102.0,satisfied
41,42,Male,Loyal Customer,30,Business travel,Eco Plus,1987,3,5,1,2,2,5,3,5,5,5,1,4,5,3,241,236.0,satisfied
42,43,Female,Loyal Customer,39,Personal Travel,Business,2652,0,3,0,0,3,1,0,3,3,2,4,0,5,0,234,238.0,neutral or dissatisfied
43,44,Female,Loyal Customer,36,Business travel,Eco,3909,4,4,2,5,3,2,4,5,2,2,2,4,0,2,175,184.0,satisfied
44,45,Female,Loyal Customer,51,Business travel,Eco,4983,2,1,1,5,5,0,2,4,3,3,5,4,3,1,210,233.0,neutral or dissatisfied
45,46,Female,Loyal Customer,31,Personal Travel,Eco Plus,4255,3,4,0,4,0,1,3,1,4,4,2,4,5,4,30,29.0,neutral or dissatisfied
46,47,Female,Loyal Customer,21,Personal Travel,Business,4773,4,0,4,3,1,1,0,1,0,3,2,0,5,0,234,257.0,neutral or dissatisfied
47,48,Male,Loyal Customer,65,Business travel,Eco Plus,4516,2,1,1,4,5,1,2,5,1,2,1,4,3,4,241,262.0,neutral or dissatisfied
48,49,Female,Loyal Customer,70,Personal Travel,Eco,3579,1,1,0,2,3,4,4,1,1,2,4,2,4,0,152,,neutral or dissatisfied
49,50,Female,disloyal Customer,69,Personal Travel,Business,1509,3,3,3,3,2,5,0,0,3,4,4,5,2,1,195,205.0,neutral or dissatisfied
50,51,Male,Loyal Customer,63,Business travel,Eco Plus,1794,1,5,5,2,3,5,0,5,5,1,2,0,3,0,268,278.0,neutral or dissatisfied
51,52,Female,disloyal Customer,44,Personal Travel,Eco,4764,0,4,3,4,4,4,5,4,5,4,2,1,2,0,169,188.0,neutral or dissatisfied
52,53,Male,Loyal Customer,46,Business travel,Eco,626,1,1,0,5,2,2,2,5,3,5,3,4,4,1,231,,neutral or dissatisfied
53,54,Female,Loyal Customer,64,Business travel,Business,2760,1,1,2,2,2,4,0,5,2,3,1,3,4,5,183,182.0,satisfied
54,55,Male,disloyal Customer,45,Business travel,Eco,2272,5,3,2,3,3,4,1,1,1,1,5,0,1,4,274,288.0,neutral or dissatisfied
55,56,Female,Loyal Customer,52,Personal Travel,Business,379,3,3,1,3,0,4,5,4,2,3,5,1,0,5,31,30.0,satisfied
56,57,Female,Loyal Customer,25,Personal Travel,Business,3064,0,5,3,2,2,2,5,5,4,4,4,5,4,4,176,199.0,satisfied
57,58,Male,Loyal Customer,33,Business travel,Eco,4077,1,4,2,3,4,2,0,1,1,1,1,2,4,3,64,,neutral or dissatisfied
58,59,Male,disloyal Customer,59,Business travel,Eco,2769,4,0,2,5,5,3,5,2,4,4,4,1,2,4,197,209.0,satisfied
59,60,Male,Loyal Customer,53,Personal Travel,Business,2993,2,5,3,5,0,3,3,4,0,5,5,4,4,4,26,22.0,satisfied
60,61,Male,disloyal Customer,47,Business travel,Business,1851,1,0,4,3,0,3,2,3,2,0,2,3,3,0,150,160.0,neutral or dissatisfied
61,62,Male,Loyal Customer,35,Personal Travel,Business,4081,0,2,2,2,0,3,3,0,3,2,1,4,1,3,267,290.0,neutral or dissatisfied
62,63,Male,Loyal Customer,19,Personal Travel,Business,4869,1,1,5,4,2,5,4,3,1,1,1,1,1,1,84,111.0,neutral or dissatisfied
63,64,Male,Loyal Customer,66,Business travel,Business,2461,2,4,0,3,0,1,3,4,2,2,3,0,3,1,65,75.0,neutral or dissatisfied
64,65,Male,Loyal Customer,30,Personal Travel,Business,4527,0,5,1,3,3,1,1,5,3,0,2,3,5,2,132,161.0,neutral or dissatisfied
65,66,Female,Loyal Customer,21,Business travel,Eco Plus,4231,3,1,2,3,0,3,5,1,0,1,2,3,4,3,81,92.0,neutral or dissatisfied
